17. REWARI,2018-19,Kharif,65000,136000,2.09
,2019-20,Kharif,67200.0,145000.0,2.16
18. ROHTAK,2018-19,Kharif,8000.0,18000.0,2.25
,2019-20,Kharif,10600.0,21400.0,2.02
19. SIRSA,2018-19,Kharif,4000.0,11000.0,2.75
,2019-20,Kharif,5400.0,15200.0,2.81
20. SONIPAT,2018-19,Kharif,5000.0,8000.0,1.6
,2019-20,Kharif,6700.0,17200.0,2.57
21. YAMUNANAGAR,2018-19,Kharif,100.0,200.0,2.0
,2019-20,Kharif,100.0,200.0,2.0
Total - Bajra,,,917600.0,1979800.0,2.16
Jowar,,,,,
1. AMBALA,2019-20,Kharif,10.0,10.0,1.0
2. BHIWANI,2019-20,Kharif,630.0,330.0,0.52
3. CHARKI DADRI,2018-19,Kharif,1700.0,900.0,0.53
4. FARIDABAD,2018-19,Kharif,1000.0,500.0,0.5
,2019-20,Kharif,1240.0,650.0,0.52
5. GURGAON,2018-19,Kharif,600.0,300.0,0.5
,2019-20,Kharif,460.0,240.0,0.52
6. JHAJJAR,2018-19,Kharif,6800.0,3600.0,0.53
,2019-20,Kharif,260.0,140.0,0.54
7. KAITHAL,2019-20,Kharif,30.0,20.0,0.67
8. KARNAL,2019-20,Kharif,10.0,10.0,1.0
9. MAHENDRAGARH,2018-19,Kharif,100.0,100.0,1.0
,2019-20,Kharif,30.0,20.0,0.67
10. MEWAT,2018-19,Kharif,8500.0,4500.0,0.53
,2019-20,Kharif,11730.0,6180.0,0.53
11. PALWAL,2018-19,Kharif,7000.0,3700.0,0.53
,2019-20,Kharif,6650.0,3500.0,0.53
12. PANIPAT,2019-20,Kharif,10.0,10.0,1.0
13. REWARI,2018-19,Kharif,300.0,200.0,0.67
,2019-20,Kharif,590.0,310.0,0.53
14. ROHTAK,2018-19,Kharif,10300.0,5400.0,0.52
,2019-20,Kharif,2950.0,1550.0,0.53
15. SIRSA,2019-20,Kharif,60.0,30.0,0.5
16. SONIPAT,2018-19,Kharif,4000.0,2100.0,0.53
,2019-20,Kharif,5260.0,2770.0,0.53
Total - Jowar,,,70220.0,37070.0,0.53
