Sl.No.,District Name,Area,Production,Yield,,
1,Bagalkote,313,281,899,,
2,Bengaluru - Urban,17,21,1224,,
3,Bengaluru - Rural,27,32,1200,,
4,Belagavi,1769,1965,1111,,
5,Ballari,5764,3326,577,,
6,Bidar,176,209,1186,,
7,Vijayapura,570,500,878,,
8,Chamarajanagar,222,259,1168,,
9,Chickballapur,193,200,1038,,
10,Chikmagalur,640,792,1238,,
11,Chitradurga,4305,3732,867,,
12,Dakshina Kannada,1,1,1289,,
13,Davanagere,285,216,759,,
14,Dharwad,741,1139,1537,,
15,Gadag,209,133,637,,
16,Kalburgi,459,463,1009,,
17,Hassan,415,477,1150,,
18,Haveri,853,1218,1428,,
19,Kodagu,2,3,1289,,
20,Kolar,571,714,1251,,
21,Koppal,5599,2340,418,,
22,Mandya,40,46,1141,,
23,Mysuru,80,94,1177,,
24,Raichur,885,486,549,,
25,Ramanagaram,51,62,1211,,
26,Shivamogga,36,43,1185,,
27,Tumakuru,1858,1509,812,,
28,Udupi,2,3,1289,,
29,Uttara Kannada,44,57,1289,,
30,Yadgir,109,77,711,,
State Total,,26236,20400,778,,
